variable,value
0.3,5.382519863791146
0.3,7.091940976163451
0.3,7.7060158910329175
0.3,8.35754824063564
0.3,4.2576617480136205
0.3,6.809307604994324
0.3,4.734392735527809
0.3,5.780930760499433
0.3,6.582292849035187
0.3,8.171396140749149
0.1,5.447219069239501
0.1,6.975028376844495
0.1,5.570942111237231
0.1,7.475595913734392
0.1,5.350737797956867
0.1,4.973893303064699
0.1,2.8762769580022702
0.1,6.839954597048808
0.1,4.358683314415437
0.05,5.141884222474461
0.05,3.6356413166855845
0.05,7.040862656072645
0.05,3.940976163450624
0.05,4.34733257661748
0.05,5.916004540295119
0.05,4.180476730987515
0.05,5.654937570942111
0.05,2.6106696935300793
0.05,3.203178206583428
0.01,7.607264472190693
0.01,2.642451759364359
0.01,3.5766174801362087
0.01,5.175936435868332
0.01,5.902383654937571
0.01,5.493757094211124
0.01,2.753688989784336
0.01,3.312145289443814
