model,err__DNAm,err__mRNA,err__miRNA,y__DNAm,y__mRNA,y__miRNA
AttOmics - Clustering,0.0001732232858845,0.0001694130383907,0.0002339982606458,0.9990848302841188,0.9988328337669372,0.9965010166168212
AttOmics - GO,,0.0002375482379232,,,0.9986030459403992,
AttOmics - Hallmarks,,0.0001039210357597,,,0.9987705945968628,
AttOmics - Random,9.975591370472212e-05,0.0003457026707451,0.0004945410020625,0.9991846561431884,0.9984850764274598,0.9957078099250792
CNN1d,0.0004473263612519,0.0001292647306819,0.0004753082556281,0.9978689074516296,0.9969397068023682,0.9904176354408264
GCN - CoExp,0.0001733457270755,0.0003512321380877,0.0013499114077364,0.9988761663436888,0.99885390996933,0.9948331594467164
GCN - PPI,,0.0004135589891542,,,0.9987354516983032,
MLP,0.0001328862035352,0.0002039626397006,0.0004897103758242,0.9987603068351746,0.9972397685050964,0.9947120547294616
RF,0.0002126521336219,0.0002799815444772,0.000176301424013,0.9977173924446106,0.9978833317756652,0.9971230268478394
SVM,4.365316166580644e-05,7.698742289883853e-06,2.239229179779521e-05,0.9984705209732057,0.997491669654846,0.9944092512130738
XGBoost,0.0,0.0,0.0,0.9968501925468444,0.9985564351081848,0.997789204120636
