model,err__DNAm,err__mRNA,err__miRNA,y__DNAm,y__mRNA,y__miRNA
AttOmics - Clustering,0.0017687965509643,0.001831514703067,0.0042583608094066,0.9650853037834168,0.9564402103424072,0.9274640202522276
AttOmics - GO,,0.0017223833016033,,,0.9600241661071778,
AttOmics - Hallmarks,,0.0035288051765324,,,0.9535766243934632,
AttOmics - Random,0.0016907937419085,0.0020882223665419,0.0032331880289376,0.9640048980712892,0.9600681781768798,0.9221970558166503
CNN1d,0.0006796013286601,0.0025794954841411,0.0052753796133844,0.9558748126029968,0.9461258888244628,0.8749709725379944
GCN - CoExp,0.0036938353133822,0.0018496351728345,0.0128746157397076,0.9615926742553712,0.953190004825592,0.9150198578834534
GCN - PPI,,0.0013315025213446,,,0.9532393932342528,
MLP,0.0019627472520999,0.0019927785777272,0.006983922186557,0.9611817479133606,0.9537289500236512,0.9228976845741272
RF,0.0026429125774082,0.0011428629665272,0.0019505974105763,0.949811589717865,0.9422758340835572,0.9410701036453248
SVM,0.0,0.0,0.0,0.9660889506340028,0.9457423090934752,0.9238884449005128
XGBoost,0.0,0.0,0.0,0.9487565755844116,0.9645817875862122,0.9562923908233644
