model,err__DNAm,err__mRNA,err__miRNA,y__DNAm,y__mRNA,y__miRNA
AttOmics - Clustering,0.0020430514755566,0.0019653785854027,0.0053971854006089,0.9648449301719666,0.956268322467804,0.9267213582992554
AttOmics - GO,,0.0015844242534172,,,0.960349977016449,
AttOmics - Hallmarks,,0.003558570751708,,,0.9534169912338256,
AttOmics - Random,0.0021200444953209,0.0022587039194505,0.0034651428594347,0.9629249572753906,0.9602037668228148,0.922618556022644
CNN1d,0.0007647304070752,0.0026397872821304,0.0055021684355081,0.954718279838562,0.9466997861862184,0.8747413039207459
GCN - CoExp,0.0047104701110068,0.0023905081956512,0.0133283895397016,0.9609285116195678,0.9539617776870728,0.914329433441162
GCN - PPI,,0.00190808055104,,,0.9544310569763184,
MLP,0.0017794498775613,0.0018735990236845,0.007544843807439,0.9614431142807008,0.9553088903427124,0.9237393856048584
RF,0.0026429125774082,0.0011428629665272,0.0019505974105763,0.949811589717865,0.9422758340835572,0.9410701036453248
SVM,0.0,0.0,0.0,0.9660889506340028,0.9457422494888306,0.9238884449005128
XGBoost,0.0,0.0,0.0,0.9487565755844116,0.9645817875862122,0.9562923908233644
