model,err__DNAm,err__mRNA,err__miRNA,y__DNAm,y__mRNA,y__miRNA
AttOmics - Clustering,0.0015749085710197,0.0018288897524496,0.0035556403133569,0.96582772731781,0.957442092895508,0.9292104005813598
AttOmics - GO,,0.0018873896214434,,,0.96035338640213,
AttOmics - Hallmarks,,0.0034866639806943,,,0.9543687343597412,
AttOmics - Random,0.0012360172435892,0.0018575444202832,0.0031331661090724,0.9655922889709472,0.9604630827903748,0.9228970885276796
CNN1d,0.0007115091094717,0.002663227846128,0.0048255351275574,0.9577467441558838,0.9464507699012756,0.8797670483589173
GCN - CoExp,0.0028087158332177,0.0016655275252332,0.0117738907305596,0.9633110761642456,0.9532229781150818,0.9178432703018188
GCN - PPI,,0.0013371134267415,,,0.952991247177124,
MLP,0.0020506106565538,0.0022669504046368,0.0066599666412987,0.9614015102386476,0.9534311532974244,0.9232619047164916
RF,0.0026429125774082,0.0011428629665272,0.0019505974105763,0.949811589717865,0.9422758340835572,0.9410701036453248
SVM,0.0,0.0,0.0,0.9660889506340028,0.9457422494888306,0.9238884449005128
XGBoost,0.0,0.0,0.0,0.9487565755844116,0.9645817875862122,0.9562923908233644
