model,err__DNAm,err__mRNA,err__miRNA,y__DNAm,y__mRNA,y__miRNA
AttOmics - Clustering,8.968878477670967e-05,7.844627510174022e-05,0.0001811698576647,0.9983056068420412,0.9978577852249144,0.9964326381683348
AttOmics - GO,,8.250337263547198e-05,,,0.9980394959449768,
AttOmics - Hallmarks,,0.0001882416477117,,,0.9977088093757628,
AttOmics - Random,6.2213465472139e-05,0.0001016656509184,0.0002208590655497,0.9982605457305908,0.998004674911499,0.9961340427398682
CNN1d,4.894442219809913e-05,0.0001117504482395,0.0002624183471991,0.997826623916626,0.9973395705223084,0.9938587307929992
GCN - CoExp,0.0001877225108525,9.69089738332288e-05,0.000634913053873,0.998118245601654,0.9976584076881408,0.9956618070602417
GCN - PPI,,8.854848655163497e-05,,,0.9977040767669678,
MLP,7.683209338930662e-05,0.0001238040226789,0.0003378388258294,0.998164975643158,0.9976993322372436,0.9961049318313598
RF,0.0001391027194961,6.0171575280197953e-05,0.0001026625373408,0.997358524799347,0.9969618916511536,0.9968984246253968
SVM,0.0,0.0,0.0,0.9982151985168456,0.997144341468811,0.9959941506385804
XGBoost,0.0,0.0,0.0,0.9973029494285583,0.9981358647346495,0.9976996183395386
