model,err__DNAm,err__mRNA,err__miRNA,y__DNAm,y__mRNA,y__miRNA
AttOmics - Clustering,0.0015749085710197,0.0018288897524496,0.0035556403133569,0.0341722726821899,0.0425579071044921,0.0707895994186401
AttOmics - GO,,0.0018873896214434,,,0.0396466135978698,
AttOmics - Hallmarks,,0.0034866639806943,,,0.0456312656402587,
AttOmics - Random,0.0012360172435892,0.0018575444202831,0.0031331661090724,0.0344077110290527,0.0395369172096252,0.0771029114723205
CNN1d,0.0007115091094717,0.002663227846128,0.0048255351275574,0.0422532558441162,0.0535492300987243,0.1202329516410827
GCN - CoExp,0.0028087158332177,0.0016655275252332,0.0117738907305596,0.0366889238357543,0.0467770218849182,0.0821567296981811
GCN - PPI,,0.0013371134267415,,,0.0470087528228759,
MLP,0.0020506106565538,0.0022669504046368,0.0066599666412987,0.0385984897613525,0.0465688467025756,0.0767380952835083
RF,0.0026429125774082,0.0011428629665272,0.0019505974105763,0.050188410282135,0.0577241659164428,0.0589298963546752
SVM,0.0,0.0,0.0,0.0339110493659973,0.0542577505111694,0.0761115550994873
XGBoost,0.0,0.0,0.0,0.0512434244155883,0.0354182124137878,0.0437076091766357
